model_uuid,model_config_uuid,model_classpath,hyperparameters,experiment_uuid,performance_metric,fairness_metric,alpha,sampler,dataset,performance_val,fairness_val,performance_test,fairness_test,task_type
1635b60b91dd10664e6829c9b6d2e1c0,0c1eac45640effe305c0f068ce40690d,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 5.044573793045878e-05, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 2887, 'random_state': 30}",550417ca6dd99583f338471fe366519d,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.5,0.96059,0.491,0.871,TPESampler
682c5928f598c9a27bdcb7a8ea974546,b0f8cfb0e727ca0585c3948a43d9de18,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.009925149859980623, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 267, 'random_state': 31}",840d596ce3ddd758f36218d9217df3b3,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.529,0.94507,0.507,0.79345,TPESampler
4d6c8a30af2b9f13b9d775b99df29717,8a6478b84008a86b6dbbb22b2856a873,fairautoml.wrappers.nn.FeedForwardClassifier,"{'n_jobs': -3, 'batch_size': 2048, 'max_epochs': 146, 'random_state': 32, 'optimizer__lr': 0.004780186502541141, 'model__dropout': 0.0025174936909259245, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",713e06646cddaedfaadcead9bb76252b,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.575,0.96327,0.525,0.78533,TPESampler
33388271ec8c6954db660192a3d9ba7d,8fbce2053ec80225f09837f1e079f27e,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.00980743856769189, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 3722, 'random_state': 33}",38a43c0c7502d1d38161e33bda797f9b,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.527,0.93769,0.508,0.79055,TPESampler
974bf49c61d730ec5f2e7e7617c7051f,9fa1d55f51d924af629218646bcca5f7,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 56, 'random_state': 34, 'min_samples_leaf': 22, 'min_samples_split': 39}",a654080fa640ebff3476205e8fed20db,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.495,0.88959,0.503,0.66906,TPESampler
0816790c9318ab0a9a22cbf37471768f,145a7b6573a71155ca13cda676988507,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.003021063645215699, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 149, 'random_state': 43}",6cea9e5acf344054ffa800f1aef0ef68,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.521,0.98087,0.507,0.78718,TPESampler
9095b1433c3ba64d813cf2808572d7ee,307a875f58e6a8fbb631a76fd1bd6799,fairautoml.wrappers.nn.FeedForwardClassifier,"{'n_jobs': -3, 'batch_size': 2048, 'max_epochs': 145, 'random_state': 35, 'optimizer__lr': 0.0022835415247794586, 'model__dropout': 0.18096205104657712, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",11d3254a7e820827627c01e739fbf225,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.487,0.99549,0.471,0.79812,TPESampler
8f6f6e5706128f4040de8482d7009015,b23d5c9f43848b0e4e756b29bb241608,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.00044115250652445876, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 4582, 'random_state': 36}",55b968a3e7aabc55eff2298050ea49fb,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.516,0.98457,0.506,0.79638,TPESampler
db4452b3d02d1c5e10c12cca1d5ad90a,0c98c228c784ad2b30c9ba5142d30aef,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.009664168709110884, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 2737, 'random_state': 37}",473891d79152c7694948220194e75ab1,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.529,0.94507,0.507,0.79345,TPESampler
71259999d508b51ee42a15f4eb60ea8a,dfc78eb337906df8474daa1bc52aafc9,fairautoml.wrappers.nn.FeedForwardClassifier,"{'n_jobs': -3, 'batch_size': 2048, 'max_epochs': 80, 'random_state': 38, 'optimizer__lr': 0.002247126397357485, 'model__dropout': 0.1308540930077421, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",66c908f590ca7d5d193f93e076cf3cce,precision,poverty_level_min_tpr_disparity,0.5,TPESampler,Donors Choose,0.559,0.98996,0.524,0.83155,TPESampler
